Country/Region,Province/State,Lat,Long,Date,Cases,Deaths,Continent
Afghanistan,,33.0,65.0,4/23/20,1279,179,Asia
Afghanistan,,33.0,65.0,4/24/20,1351,188,Asia
Afghanistan,,33.0,65.0,4/25/20,1463,188,Asia
Afghanistan,,33.0,65.0,4/26/20,1531,207,Asia
Afghanistan,,33.0,65.0,4/27/20,1703,220,Asia
Afghanistan,,33.0,65.0,4/28/20,1828,228,Asia
Afghanistan,,33.0,65.0,4/29/20,1939,252,Asia
Afghanistan,,33.0,65.0,4/30/20,2171,260,Asia
Afghanistan,,33.0,65.0,5/1/20,2335,310,Asia
Afghanistan,,33.0,65.0,5/2/20,2469,331,Asia
Afghanistan,,33.0,65.0,5/3/20,2704,345,Asia
Afghanistan,,33.0,65.0,5/4/20,2894,397,Asia
Afghanistan,,33.0,65.0,5/5/20,3224,421,Asia
Afghanistan,,33.0,65.0,5/6/20,3392,458,Asia
Afghanistan,,33.0,65.0,5/7/20,3563,468,Asia
Afghanistan,,33.0,65.0,5/8/20,3778,472,Asia
Afghanistan,,33.0,65.0,5/9/20,4033,502,Asia
Afghanistan,,33.0,65.0,5/10/20,4402,558,Asia
Afghanistan,,33.0,65.0,5/11/20,4687,558,Asia
Afghanistan,,33.0,65.0,5/12/20,4963,610,Asia
Afghanistan,,33.0,65.0,5/13/20,5226,648,Asia
Afghanistan,,33.0,65.0,5/14/20,5639,691,Asia
Afghanistan,,33.0,65.0,5/15/20,6053,745,Asia
Afghanistan,,33.0,65.0,5/16/20,6402,745,Asia
Afghanistan,,33.0,65.0,5/17/20,6664,778,Asia
Afghanistan,,33.0,65.0,5/18/20,7072,801,Asia
Afghanistan,,33.0,65.0,5/19/20,7653,850,Asia
Afghanistan,,33.0,65.0,5/20/20,8145,930,Asia
Afghanistan,,33.0,65.0,5/21/20,8676,938,Asia
Afghanistan,,33.0,65.0,5/22/20,9216,996,Asia
Afghanistan,,33.0,65.0,5/23/20,9998,1040,Asia
Afghanistan,,33.0,65.0,5/24/20,10582,1075,Asia
Afghanistan,,33.0,65.0,5/25/20,11173,1097,Asia
Afghanistan,,33.0,65.0,5/26/20,11831,1128,Asia
Afghanistan,,33.0,65.0,5/27/20,12456,1138,Asia
Afghanistan,,33.0,65.0,5/28/20,13036,1209,Asia
Afghanistan,,33.0,65.0,5/29/20,13659,1259,Asia
Afghanistan,,33.0,65.0,5/30/20,14525,1303,Asia
Albania,,41.1533,20.1683,1/22/20,0,0,Europe
Albania,,41.1533,20.1683,1/23/20,0,0,Europe
Albania,,41.1533,20.1683,1/24/20,0,0,Europe
Albania,,41.1533,20.1683,1/25/20,0,0,Europe
Albania,,41.1533,20.1683,1/26/20,0,0,Europe
Albania,,41.1533,20.1683,1/27/20,0,0,Europe
Albania,,41.1533,20.1683,1/28/20,0,0,Europe
Albania,,41.1533,20.1683,1/29/20,0,0,Europe
Albania,,41.1533,20.1683,1/30/20,0,0,Europe
Albania,,41.1533,20.1683,1/31/20,0,0,Europe
Albania,,41.1533,20.1683,2/1/20,0,0,Europe
Albania,,41.1533,20.1683,2/2/20,0,0,Europe
Albania,,41.1533,20.1683,2/3/20,0,0,Europe
Albania,,41.1533,20.1683,2/4/20,0,0,Europe
Albania,,41.1533,20.1683,2/5/20,0,0,Europe
Albania,,41.1533,20.1683,2/6/20,0,0,Europe
Albania,,41.1533,20.1683,2/7/20,0,0,Europe
Albania,,41.1533,20.1683,2/8/20,0,0,Europe
Albania,,41.1533,20.1683,2/9/20,0,0,Europe
Albania,,41.1533,20.1683,2/10/20,0,0,Europe
Albania,,41.1533,20.1683,2/11/20,0,0,Europe
Albania,,41.1533,20.1683,2/12/20,0,0,Europe
Albania,,41.1533,20.1683,2/13/20,0,0,Europe
Albania,,41.1533,20.1683,2/14/20,0,0,Europe
Albania,,41.1533,20.1683,2/15/20,0,0,Europe
Albania,,41.1533,20.1683,2/16/20,0,0,Europe
Albania,,41.1533,20.1683,2/17/20,0,0,Europe
Albania,,41.1533,20.1683,2/18/20,0,0,Europe
Albania,,41.1533,20.1683,2/19/20,0,0,Europe
Albania,,41.1533,20.1683,2/20/20,0,0,Europe
Albania,,41.1533,20.1683,2/21/20,0,0,Europe
Albania,,41.1533,20.1683,2/22/20,0,0,Europe
Albania,,41.1533,20.1683,2/23/20,0,0,Europe
Albania,,41.1533,20.1683,2/24/20,0,0,Europe
Albania,,41.1533,20.1683,2/25/20,0,0,Europe
Albania,,41.1533,20.1683,2/26/20,0,0,Europe
Albania,,41.1533,20.1683,2/27/20,0,0,Europe
Albania,,41.1533,20.1683,2/28/20,0,0,Europe
Albania,,41.1533,20.1683,2/29/20,0,0,Europe
Albania,,41.1533,20.1683,3/1/20,0,0,Europe
Albania,,41.1533,20.1683,3/2/20,0,0,Europe
Albania,,41.1533,20.1683,3/3/20,0,0,Europe
Albania,,41.1533,20.1683,3/4/20,0,0,Europe
Albania,,41.1533,20.1683,3/5/20,0,0,Europe
Albania,,41.1533,20.1683,3/6/20,0,0,Europe
Albania,,41.1533,20.1683,3/7/20,0,0,Europe
Albania,,41.1533,20.1683,3/8/20,0,0,Europe
Albania,,41.1533,20.1683,3/9/20,2,0,Europe
Albania,,41.1533,20.1683,3/10/20,10,0,Europe
Albania,,41.1533,20.1683,3/11/20,12,0,Europe
Albania,,41.1533,20.1683,3/12/20,23,0,Europe
Albania,,41.1533,20.1683,3/13/20,33,0,Europe
Albania,,41.1533,20.1683,3/14/20,38,0,Europe
Albania,,41.1533,20.1683,3/15/20,42,0,Europe
Albania,,41.1533,20.1683,3/16/20,51,0,Europe
Albania,,41.1533,20.1683,3/17/20,55,0,Europe
Albania,,41.1533,20.1683,3/18/20,59,0,Europe
Albania,,41.1533,20.1683,3/19/20,64,0,Europe
Albania,,41.1533,20.1683,3/20/20,70,0,Europe
Albania,,41.1533,20.1683,3/21/20,76,2,Europe
Albania,,41.1533,20.1683,3/22/20,89,2,Europe
Albania,,41.1533,20.1683,3/23/20,104,2,Europe
Albania,,41.1533,20.1683,3/24/20,123,10,Europe
Albania,,41.1533,20.1683,3/25/20,146,17,Europe
Albania,,41.1533,20.1683,3/26/20,174,17,Europe
Albania,,41.1533,20.1683,3/27/20,186,31,Europe
Albania,,41.1533,20.1683,3/28/20,197,31,Europe
Albania,,41.1533,20.1683,3/29/20,212,33,Europe
Albania,,41.1533,20.1683,3/30/20,223,44,Europe
Albania,,41.1533,20.1683,3/31/20,243,52,Europe
Albania,,41.1533,20.1683,4/1/20,259,67,Europe
Albania,,41.1533,20.1683,4/2/20,277,76,Europe
Albania,,41.1533,20.1683,4/3/20,304,89,Europe
Albania,,41.1533,20.1683,4/4/20,333,99,Europe
Albania,,41.1533,20.1683,4/5/20,361,104,Europe
Albania,,41.1533,20.1683,4/6/20,377,116,Europe
Albania,,41.1533,20.1683,4/7/20,383,131,Europe
Albania,,41.1533,20.1683,4/8/20,400,154,Europe
Albania,,41.1533,20.1683,4/9/20,409,165,Europe
Albania,,41.1533,20.1683,4/10/20,416,182,Europe
Albania,,41.1533,20.1683,4/11/20,433,197,Europe
Albania,,41.1533,20.1683,4/12/20,446,217,Europe
Albania,,41.1533,20.1683,4/13/20,467,232,Europe
Albania,,41.1533,20.1683,4/14/20,475,248,Europe
Albania,,41.1533,20.1683,4/15/20,494,251,Europe
Albania,,41.1533,20.1683,4/16/20,518,277,Europe
Albania,,41.1533,20.1683,4/17/20,539,283,Europe
Albania,,41.1533,20.1683,4/18/20,548,302,Europe
Albania,,41.1533,20.1683,4/19/20,562,314,Europe
Albania,,41.1533,20.1683,4/20/20,584,327,Europe
Albania,,41.1533,20.1683,4/21/20,609,345,Europe
Albania,,41.1533,20.1683,4/22/20,634,356,Europe
Albania,,41.1533,20.1683,4/23/20,663,385,Europe
Albania,,41.1533,20.1683,4/24/20,678,394,Europe
Albania,,41.1533,20.1683,4/25/20,712,403,Europe
Albania,,41.1533,20.1683,4/26/20,726,410,Europe
Albania,,41.1533,20.1683,4/27/20,736,422,Europe
Albania,,41.1533,20.1683,4/28/20,750,431,Europe
Albania,,41.1533,20.1683,4/29/20,766,455,Europe
Albania,,41.1533,20.1683,4/30/20,773,470,Europe
